LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1100.025889,1100.025869,1661327418.312659,41007.000,4552,2,RD,1,100,TL
1100.025889,1100.025869,1661327418.312659,41007.000,4552,2,RD,1,100,TU
1102.673065,1102.673045,1661327420.959836,43571.000,5434,2,RD,1,100,TL
1105.320242,1105.320222,1661327423.607013,46135.000,5434,2,RD,1,100,TU
1107.961223,1107.961203,1661327426.247995,48693.000,6300,2,RD,1,100,TL
1110.602205,1110.602185,1661327428.888978,51251.000,6300,2,RD,1,100,TU
1113.233895,1113.233875,1661327431.520668,53800.000,7174,2,RD,1,100,TL
1115.865585,1115.865565,1661327434.152358,56349.000,7174,2,RD,1,100,TU
1118.507599,1118.507579,1661327436.794373,58908.000,8044,2,RD,1,100,TL
1121.149613,1121.149594,1661327439.436388,61467.000,8044,2,RD,1,100,TU
1123.780787,1123.780767,1661327442.067562,64015.500,8914,2,RD,1,100,TL
1126.411960,1126.411941,1661327444.698736,66564.000,8914,2,RD,1,100,TU
1129.075656,1129.075637,1661327447.362432,69144.000,9795,2,RD,1,100,TL
1131.739351,1131.739332,1661327450.026128,71724.000,9795,2,RD,1,100,TU
1134.399949,1134.399930,1661327452.686727,74301.000,10669,2,RD,1,100,TL
1137.060548,1137.060529,1661327455.347325,76878.000,10669,2,RD,1,100,TU
1139.707208,1139.707189,1661327457.993986,79441.500,11552,2,RD,1,100,TL
1142.353868,1142.353849,1661327460.640647,82005.000,11552,2,RD,1,100,TU
1145.021693,1145.021674,1661327463.308472,84589.000,12363,2,RD,1,100,TL
1147.689518,1147.689500,1661327465.976298,87173.000,12363,2,RD,1,100,TU
1150.319660,1150.319641,1661327468.606440,89720.500,13239,2,RD,1,100,TL
1152.949801,1152.949782,1661327471.236582,92268.000,13239,2,RD,1,100,TU
1155.583556,1155.583537,1661327473.870337,94819.000,14112,2,RD,1,100,TL
1158.217310,1158.217292,1661327476.504092,97370.000,14112,2,RD,1,100,TU
1160.853646,1160.853628,1661327479.140428,99923.500,14980,2,RD,1,100,TL
1163.489982,1163.489963,1661327481.776764,102477.000,14980,2,RD,1,100,TU
1166.131480,1166.131461,1661327484.418263,105035.500,15856,2,RD,1,100,TL
1168.772978,1168.772960,1661327487.059762,107594.000,15856,2,RD,1,100,TU
1171.416024,1171.416006,1661327489.702809,110154.000,16734,2,RD,1,100,TL
1174.059071,1174.059053,1661327492.345856,112714.000,16734,2,RD,1,100,TU
1176.698504,1176.698486,1661327494.985290,115270.500,17592,2,RD,1,100,TL
1179.337937,1179.337919,1661327497.624723,117827.000,17592,2,RD,1,100,TU
1181.971692,1181.971674,1661327500.258478,120378.000,18421,2,RD,1,100,TL
1184.605447,1184.605429,1661327502.892234,122929.000,18421,2,RD,1,100,TU
1187.268626,1187.268608,1661327505.555413,125508.500,19307,2,RD,1,100,TL
1189.931805,1189.931788,1661327508.218593,128088.000,19307,2,RD,1,100,TU
1192.587757,1192.587740,1661327510.874546,130660.500,20205,2,RD,1,100,TL
1195.243710,1195.243692,1661327513.530499,133233.000,20205,2,RD,1,100,TU
1197.892951,1197.892933,1661327516.179740,135799.000,21073,2,RD,1,100,TL
1200.542192,1200.542175,1661327518.828982,138365.000,21073,2,RD,1,100,TU
1203.182658,1203.182640,1661327521.469448,140922.500,21935,2,RD,1,100,TL
1205.823123,1205.823106,1661327524.109914,143480.000,21935,2,RD,1,100,TU
