LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1100.022791,1100.022771,1661327418.309562,41004.000,4550,1,TL,1,100,2022-08-24_09-50-13-151235
1100.046538,1100.046517,1661327418.333308,41027.000,4553,1,TL,1,100,2022-08-24_09-50-18-323308
1105.317144,1105.317124,1661327423.603916,46132.000,5432,1,TL,1,100,2022-08-24_09-50-18-381978
1105.349150,1105.349130,1661327423.635921,46163.000,5435,1,TL,1,100,2022-08-24_09-50-23-630847
1110.596010,1110.595991,1661327428.882783,51245.000,6298,1,TL,1,100,2022-08-24_09-50-23-699897
1110.630081,1110.630061,1661327428.916853,51278.000,6301,1,TL,1,100,2022-08-24_09-50-28-915217
1115.862487,1115.862468,1661327434.149261,56346.000,7172,1,TL,1,100,2022-08-24_09-50-29-019179
1115.913077,1115.913057,1661327434.199851,56395.000,7175,1,TL,1,100,2022-08-24_09-50-34-182965
1121.143419,1121.143399,1661327439.430193,61461.000,8042,1,TL,1,100,2022-08-24_09-50-34-269874
1121.211560,1121.211540,1661327439.498334,61527.000,8045,1,TL,1,100,2022-08-24_09-50-39-473777
1126.408863,1126.408844,1661327444.695639,66561.000,8912,1,TL,1,100,2022-08-24_09-50-39-558835
1126.434674,1126.434655,1661327444.721450,66586.000,8915,1,TL,1,100,2022-08-24_09-50-44-722414
1131.736254,1131.736235,1661327450.023031,71721.000,9793,1,TL,1,100,2022-08-24_09-50-44-789034
1137.037834,1137.037815,1661327455.324611,76856.000,10665,1,TL,1,100,2022-08-24_09-50-50-038003
1137.057450,1137.057431,1661327455.344228,76875.000,10667,1,TL,1,100,2022-08-24_09-50-50-194543
1137.081196,1137.081177,1661327455.367974,76898.000,10670,1,TL,1,100,2022-08-24_09-50-55-351583
1142.350771,1142.350752,1661327460.637549,82002.000,11550,1,TL,1,100,2022-08-24_09-50-55-415550
1147.665772,1147.665754,1661327465.952552,87150.000,12359,1,TL,1,100,2022-08-24_09-51-00-636138
1147.685389,1147.685370,1661327465.972168,87169.000,12361,1,TL,1,100,2022-08-24_09-51-00-790364
1147.711200,1147.711181,1661327465.997979,87194.000,12364,1,TL,1,100,2022-08-24_09-51-05-969634
1152.940509,1152.940490,1661327471.227289,92259.000,13237,1,TL,1,100,2022-08-24_09-51-06-087411
1152.974579,1152.974561,1661327471.261360,92292.000,13240,1,TL,1,100,2022-08-24_09-51-11-228788
1158.213180,1158.213162,1661327476.499962,97366.000,14110,1,TL,1,100,2022-08-24_09-51-11-279325
1158.240024,1158.240005,1661327476.526806,97392.000,14113,1,TL,1,100,2022-08-24_09-51-16-494607
1163.486884,1163.486866,1661327481.773667,102474.000,14978,1,TL,1,100,2022-08-24_09-51-16-545021
1163.511663,1163.511645,1661327481.798446,102498.000,14981,1,TL,1,100,2022-08-24_09-51-21-767205
1168.767816,1168.767797,1661327487.054599,107589.000,15854,1,TL,1,100,2022-08-24_09-51-21-856562
1168.822535,1168.822517,1661327487.109319,107642.000,15857,1,TL,1,100,2022-08-24_09-51-27-080609
1174.054941,1174.054923,1661327492.341726,112710.000,16732,1,TL,1,100,2022-08-24_09-51-27-146019
1174.081785,1174.081767,1661327492.368570,112736.000,16735,1,TL,1,100,2022-08-24_09-51-32-349705
1179.334840,1179.334822,1661327497.621626,117824.000,17590,1,TL,1,100,2022-08-24_09-51-32-508014
1179.358586,1179.358568,1661327497.645372,117847.000,17593,1,TL,1,100,2022-08-24_09-51-37-635372
1184.601317,1184.601299,1661327502.888104,122925.000,18419,1,TL,1,100,2022-08-24_09-51-37-730247
1184.633323,1184.633305,1661327502.920110,122956.000,18422,1,TL,1,100,2022-08-24_09-51-42-902543
1189.928708,1189.928690,1661327508.215496,128085.000,19305,1,TL,1,100,2022-08-24_09-51-42-963138
1189.953487,1189.953469,1661327508.240274,128109.000,19308,1,TL,1,100,2022-08-24_09-51-48-234464
1195.240612,1195.240595,1661327513.527401,133230.000,20203,1,TL,1,100,2022-08-24_09-51-48-393626
1195.266423,1195.266406,1661327513.553212,133255.000,20206,1,TL,1,100,2022-08-24_09-51-53-544050
1200.539095,1200.539077,1661327518.825885,138362.000,21071,1,TL,1,100,2022-08-24_09-51-53-616733
1200.575230,1200.575213,1661327518.862020,138397.000,21074,1,TL,1,100,2022-08-24_09-51-58-852954
1205.815896,1205.815879,1661327524.102687,143473.000,21933,1,TL,1,100,2022-08-24_09-51-58-930511
1205.902621,1205.902604,1661327524.189412,143557.000,21936,1,TL,1,100,2022-08-24_09-52-04-152289
